State,Year,Crop,Area,Rain,Production
11,2006,89,2.5,2404.7,1.03
11,2010,39,3.5,3157.1,10
11,2010,52,13.4,3157.1,41.75
11,2010,64,944,3157.1,1610
11,2010,0,23,3157.1,8.5
11,2010,102,1000.5,3157.1,260.5
11,2010,35,12,3157.1,25
11,2010,7,7,3157.1,9.64
11,2010,30,3.84,3157.1,18.22
11,2010,41,1.5,3157.1,1.1
11,2010,67,22,3157.1,208
11,2010,89,2,3157.1,0.5
11,2010,23,1.5,3157.1,1.16
11,2010,99,593,3157.1,3425
11,2010,42,14560,3157.1,71300000
11,2010,44,69,3157.1,575
11,2000,64,3100,2763.2,5200
11,2000,71,668,2763.2,448
11,2000,39,10779,2763.2,31863
11,2000,99,1531,2763.2,12073
11,2000,102,80,2763.2,54
11,2000,42,6992,2763.2,23900000
11,2000,7,352,2763.2,1120
11,2000,15,133,2763.2,55
11,2000,52,141,2763.2,3736
11,2000,67,78,2763.2,843
11,2000,44,160,2763.2,2108
11,2001,64,3100,3080.9,5239
11,2001,71,418,3080.9,199
11,2001,39,9718,3080.9,27033
11,2001,102,81,3080.9,33
11,2001,42,7015,3080.9,25250000
11,2001,7,344,3080.9,1124
11,2001,52,81,3080.9,2379
11,2001,67,100,3080.9,5
11,2006,39,6854.3,2404.7,18995.62
11,2006,64,1160,2404.7,3011.7
11,2006,99,957.57,2404.7,8582
11,2006,0,175,2404.7,191.14
11,2006,102,40.5,2404.7,44
11,2006,42,3575,2404.7,15400000
11,2006,35,235.72,2404.7,824.3
11,2006,7,98.66,2404.7,929
11,2006,15,35.62,2404.7,21.4
11,2006,52,71.3,2404.7,1500
11,2006,67,30,2404.7,240
11,2006,44,255,2404.7,1420
11,2006,89,68,2404.7,408
11,2010,39,6791,3157.1,20118
11,2010,52,73.33,3157.1,889.2
11,2010,64,1296,3157.1,2290
11,2010,78,294.5,3157.1,90.8
11,2010,0,168,3157.1,13.5
11,2010,102,84.5,3157.1,39
11,2010,35,254,3157.1,402
11,2010,7,110,3157.1,1011.84
11,2010,17,4.75,3157.1,6.8
11,2010,30,86.7,3157.1,96.4
11,2010,41,1168.6,3157.1,556.55
11,2010,103,2.9,3157.1,1.9
11,2010,67,109,3157.1,480
11,2010,89,68,3157.1,376.5
11,2010,23,1059.5,3157.1,458.79
11,2010,99,657,3157.1,7968
11,2010,42,3668,3157.1,12700000
11,2010,44,186.5,3157.1,1355
11,2002,39,10695.8,2620.2,31600.82
11,2002,64,3105,2620.2,5267
11,2002,99,1524,2620.2,10882
11,2002,0,487,2620.2,102.5
11,2002,102,81,2620.2,24
11,2002,42,7060,2620.2,26830000
11,2002,35,239,2620.2,20.9
11,2002,7,352,2620.2,1145
11,2002,15,85.1,2620.2,40.31
11,2002,52,455,2620.2,13760
11,2003,39,10509.37,2355.9,30760.7
11,2003,64,3118,2355.9,5182
11,2003,99,1530,2355.9,11558
11,2003,0,497,2355.9,104.37
11,2003,102,116.5,2355.9,26.14
11,2003,42,7110,2355.9,26660000
11,2003,35,340,2355.9,578
11,2003,7,406,2355.9,1299.2
11,2003,15,82.09,2355.9,35.51
11,2003,52,268,2355.9,2879.52
11,2004,39,10681.98,2460.1,29119.66
11,2004,64,3160.67,2460.1,3975.2
11,2004,99,1912.1,2460.1,17374.4
11,2004,0,570,2460.1,104.36
11,2004,102,116.5,2460.1,25.1
11,2004,42,7156.7,2460.1,34750000
11,2004,35,340,2460.1,822.8
11,2004,7,410,2460.1,1462
11,2004,15,89.3,2460.1,46.5
11,2004,52,145.26,2460.1,1560
11,2005,39,8683.38,2954.7,25870.98
11,2005,64,3250.78,2954.7,3058.46
11,2005,99,1656.8,2954.7,10251.13
11,2005,0,656.45,2954.7,35.95
11,2005,102,118.5,2954.7,30.22
11,2005,42,7050.45,2954.7,26430000
11,2005,35,370.7,2954.7,877.6
11,2005,7,200,2954.7,1800
11,2005,15,53.55,2954.7,34.2
11,2005,52,128.02,2954.7,2448.2
11,2005,67,131.9,2954.7,700.35
11,2005,44,254.5,2954.7,1480
11,2005,89,81.7,2954.7,572
11,2006,39,921.87,2404.7,2539.64
11,2006,64,2000,2404.7,2350
11,2006,99,483,2404.7,4150
11,2006,0,413.1,2404.7,20.18
11,2006,102,79.5,2404.7,26
11,2006,42,3483.09,2404.7,14190000
11,2006,35,124.6,2404.7,34.7
11,2006,7,100.9,2404.7,900
11,2006,15,24,2404.7,14.98
11,2006,52,53.5,2404.7,999.5
11,2006,67,30.4,2404.7,220
11,2006,44,40,2404.7,160
11,2006,89,10,2404.7,60
11,2010,39,1595.5,3157.1,3788
11,2010,52,67.5,3157.1,402
11,2010,64,1912,3157.1,1900
11,2010,78,20.5,3157.1,13.2
11,2010,0,409,3157.1,98
11,2010,102,15,3157.1,10.5
11,2010,35,128,3157.1,148
11,2010,7,94,3157.1,828.52
11,2010,17,15.5,3157.1,7.6
11,2010,30,73,3157.1,253
11,2010,41,29.9,3157.1,17.85
11,2010,103,1,3157.1,0.5
11,2010,67,32,3157.1,235
11,2010,89,10,3157.1,105
11,2010,23,34,3157.1,15.05
11,2010,99,360,3157.1,5517
11,2010,42,3540,3157.1,11000000
11,2010,44,22.5,3157.1,220
6,2004,30,2453,2545.7,2674
6,2004,39,3342,2545.7,1914
6,2004,91,532,2545.7,495
6,2004,50,30,2545.7,60
6,2004,35,13,2545.7,18
6,2004,7,60,2545.7,420
6,2004,47,86,2545.7,688
6,2004,52,5,2545.7,50
6,2004,89,8,2545.7,20
6,2005,30,3000,2335.5,2700
6,2005,39,3400,2335.5,5000
6,2005,91,585,2335.5,525
6,2005,50,32,2335.5,65
6,2005,35,20,2335.5,28
6,2005,7,65,2335.5,455
6,2005,47,90,2335.5,720
6,2005,52,7,2335.5,70
6,2005,89,10,2335.5,25
6,2006,30,3234,2259.6,3719
6,2006,39,4060,2259.6,3004
6,2006,91,586,2259.6,492
6,2006,50,34,2259.6,73
6,2006,35,21,2259.6,30
6,2006,7,158,2259.6,1199
6,2006,74,76,2259.6,75
6,2006,47,102,2259.6,925
6,2006,52,7,2259.6,7
6,2006,89,15,2259.6,76
6,2007,30,3360,3020.7,3763
6,2007,39,4085,3020.7,2530
6,2007,91,635,3020.7,521
6,2007,50,30,3020.7,48
6,2007,35,22,3020.7,314
6,2007,7,160,3020.7,1179
6,2007,74,95,3020.7,98
6,2007,47,104,3020.7,847
6,2007,52,6,3020.7,36
6,2007,89,18,3020.7,90
6,2008,30,3461,2244.4,4049
6,2008,39,3901,2244.4,2516
6,2008,91,667,2244.4,553
6,2008,50,30,2244.4,49
6,2008,35,20,2244.4,26
6,2008,7,168,2244.4,1267
6,2008,74,100,2244.4,95
6,2008,47,115,2244.4,936
6,2008,52,7,2244.4,38
6,2008,89,19,2244.4,93
6,2009,30,3490,1749.9,4257
6,2009,39,3945,1749.9,2355.33
6,2009,91,675,1749.9,499
6,2009,50,25,1749.9,37
6,2009,35,18,1749.9,25
6,2009,7,200,1749.9,1600
6,2009,74,3945,1749.9,3533
6,2009,47,120,1749.9,1080
6,2009,52,6,1749.9,31
6,2009,89,22,1749.9,66
6,2010,30,3450,2855.7,4485
6,2010,39,3949,2855.7,3631
6,2010,91,695,2855.7,556
6,2010,50,10,2855.7,15
6,2010,35,20,2855.7,30
6,2010,7,115,2855.7,920
6,2010,74,137,2855.7,137
6,2010,47,110,2855.7,935
6,2010,89,20,2855.7,50
6,2011,30,3560,2193.7,4747
6,2011,39,3489,2193.7,2988
6,2011,91,1381,2193.7,1104
6,2011,50,10,2193.7,16
6,2011,35,22,2193.7,35
6,2011,7,118,2193.7,950
6,2011,74,139,2193.7,154
6,2011,47,117,2193.7,1043
6,2011,89,20,2193.7,51
6,2012,30,3995,3440.3,3885
6,2012,39,3561,3440.3,2996
6,2012,91,1381,3440.3,1105
6,2012,50,13,3440.3,20
6,2012,35,24,3440.3,96
6,2012,7,120,3440.3,980
6,2012,74,139,3440.3,139
6,2012,47,120,3440.3,1022
6,2012,89,18,3440.3,41
6,2013,30,3595,2042.9,3885
6,2013,39,3561,2042.9,2624
6,2013,91,1381,2042.9,1105
6,2013,50,13,2042.9,20
6,2013,35,24,2042.9,95
6,2013,7,120,2042.9,980
6,2013,74,139,2042.9,139
6,2013,47,120,2042.9,1022
6,2013,89,18,2042.9,40
6,2014,30,1290,2403.2,3197
6,2014,39,3561,2403.2,2394
6,2014,91,2367,2403.2,2792
6,2014,35,28,2403.2,57
6,2014,7,63,2403.2,1270
6,2014,74,254,2403.2,246
6,2014,47,33,2403.2,138
6,2014,89,27,2403.2,613
6,1997,30,1520,2274.9,2725
6,1997,39,11500,2274.9,13800
6,1997,20,424,2274.9,313
6,1997,91,2000,2274.9,1500
6,1997,29,373,2274.9,450
6,1997,103,51,2274.9,24
6,1997,17,285,2274.9,277
6,1997,105,4205,2274.9,3300
6,1997,52,230,2274.9,4695
6,1997,50,240,2274.9,260
6,1997,74,5500,2274.9,4450
6,1998,30,1575,3616.7,2450
6,1998,39,11550,3616.7,14316
6,1998,20,430,3616.7,244
6,1998,91,2000,3616.7,1305
6,1998,29,520,3616.7,592
6,1998,103,55,3616.7,20
6,1998,17,120,3616.7,126
6,1998,105,4215,3616.7,3200
6,1998,50,225,3616.7,230
6,1998,35,535,3616.7,470
6,1998,7,150,3616.7,795
6,1998,74,5625,3616.7,4295
6,1998,47,350,3616.7,1650
6,1998,52,240,3616.7,4650
6,1998,89,105,3616.7,535
6,1999,30,1620,2316.6,2610
6,1999,39,11600,2316.6,13733
6,1999,91,2000,2316.6,1375
6,1999,50,225,2316.6,235
6,1999,35,540,2316.6,485
6,1999,7,155,2316.6,850
6,1999,74,5675,2316.6,4475
6,1999,47,350,2316.6,1775
6,1999,48,1190,2316.6,775
6,1999,52,255,2316.6,4800
6,1999,89,110,2316.6,565
6,2000,30,864,2596.8,1322
6,2000,39,11925,2596.8,16387
6,2000,91,2000,2596.8,1375
6,2000,50,225,2596.8,235
6,2000,35,314,2596.8,415
6,2000,7,437,2596.8,2308
6,2000,74,3484,2596.8,2857
6,2000,47,755,2596.8,3238
6,2000,48,293,2596.8,238
6,2000,52,215,2596.8,648
6,2000,89,99,2596.8,455
6,2001,30,985,2036,1473
6,2001,39,11857,2036,16250
6,2001,91,2010,2036,1608
6,2001,50,200,2036,220
6,2001,35,308,2036,410
6,2001,7,477,2036,2242
6,2001,74,3509,2036,2864
6,2001,47,25,2036,133
6,2001,48,297,2036,230
6,2001,52,220,2036,605
6,2001,89,95,2036,444
6,2002,30,915,2389.2,1373
6,2002,39,11860,2389.2,16780
6,2002,91,2020,2389.2,1616
6,2002,50,200,2389.2,320
6,2002,35,320,2389.2,480
6,2002,7,450,2389.2,2475
6,2002,74,3500,2389.2,2887
6,2002,47,50,2389.2,290
6,2002,48,300,2389.2,305
6,2002,52,170,2389.2,510
6,2002,89,80,2389.2,416
6,2003,30,918,2451.8,1432
6,2003,39,11867,2451.8,18508
6,2003,91,2000,2451.8,1640
6,2003,50,205,2451.8,392
6,2003,35,345,2451.8,534
6,2003,7,425,2451.8,2402
6,2003,74,3522,2451.8,2556
6,2003,47,48,2451.8,264
6,2003,48,310,2451.8,328
6,2003,52,145,2451.8,975
6,2003,89,65,2451.8,335
6,2004,30,920,2545.7,1440
6,2004,39,11885,2545.7,18630
6,2004,91,2050,2545.7,1640
6,2004,50,210,2545.7,401
6,2004,35,400,2545.7,415
6,2004,7,20,2545.7,145
6,2004,74,3540,2545.7,2578
6,2004,47,104,2545.7,959
6,2004,52,100,2545.7,1600
6,2005,30,1460,2335.5,2090
6,2005,39,11905,2335.5,18667
6,2005,91,2060,2335.5,1668
6,2005,50,160,2335.5,240
6,2005,35,719,2335.5,982
6,2005,7,475,2335.5,2707
6,2005,74,3577,2335.5,2647
6,2005,47,60,2335.5,390
6,2005,52,214,2335.5,1498
6,2005,89,80,2335.5,408
6,2006,30,762,2259.6,1204
6,2006,39,6191,2259.6,10606
6,2006,91,1243,2259.6,1007
6,2006,50,170,2259.6,283
6,2006,35,329,2259.6,472
6,2006,7,322,2259.6,1752
6,2006,74,790,2259.6,758
6,2006,47,68,2259.6,456
6,2006,52,392,2259.6,2779
6,2006,89,51,2259.6,259
6,2007,30,1181,3020.7,1759
6,2007,39,15622,3020.7,27398
6,2007,91,2172,3020.7,1759
6,2007,50,268,3020.7,482
6,2007,35,700,3020.7,990
6,2007,7,483,3020.7,3043
6,2007,74,3991,3020.7,2996
6,2007,47,31,3020.7,180
6,2007,52,426,3020.7,4899
6,2007,89,53,3020.7,276
6,2008,30,1227,2244.4,1346
6,2008,39,16763,2244.4,35010
6,2008,91,2177,2244.4,2120
6,2008,50,274,2244.4,548
6,2008,35,634,2244.4,992
6,2008,7,494,2244.4,3531
6,2008,74,4025,2244.4,3024
6,2008,47,20,2244.4,120
6,2008,52,480,2244.4,6211
6,2008,89,63,2244.4,353
6,2009,30,635,1749.9,794
6,2009,39,8519,1749.9,15639.33
6,2009,91,1470,1749.9,1441
6,2009,50,285,1749.9,576
6,2009,35,710,1749.9,1079
6,2009,7,530,1749.9,3816
6,2009,74,8519,1749.9,23459
6,2009,47,65,1749.9,422
6,2009,52,545,1749.9,7090
6,2009,89,85,1749.9,578
6,2010,30,860,2855.7,1118
6,2010,39,9585,2855.7,18265
6,2010,91,1544,2855.7,1513
6,2010,50,280,2855.7,574
6,2010,35,700,2855.7,1064
6,2010,7,560,2855.7,4032
6,2010,74,4608,2855.7,4591
6,2010,47,112,2855.7,709
6,2010,52,595,2855.7,7740
6,2010,89,90,2855.7,585
6,2011,30,887,2193.7,1183
6,2011,39,10260,2193.7,20873
6,2011,91,1250,2193.7,1167
6,2011,50,280,2193.7,635
6,2011,35,788,2193.7,1254
6,2011,7,577,2193.7,4163
6,2011,74,4702,2193.7,5179
6,2011,47,119,2193.7,791
6,2011,52,620,2193.7,8196
6,2011,89,92,2193.7,602
6,2012,30,875,3440.3,1050
6,2012,39,9605,3440.3,19512
6,2012,91,1573,3440.3,1573
6,2012,50,297,3440.3,613
6,2012,35,720,3440.3,1080
6,2012,7,500,3440.3,3865
6,2012,74,4640,3440.3,4058
6,2012,47,105,3440.3,683
6,2012,89,85,3440.3,553
6,2013,30,880,2042.9,1074
6,2013,39,9681,2042.9,19750
6,2013,91,1580,2042.9,909
6,2013,50,280,2042.9,521
6,2013,35,722,2042.9,2527
6,2013,7,505,2042.9,3904
6,2013,74,4678,2042.9,3713
6,2013,47,110,2042.9,715
6,2013,52,561,2042.9,7097
6,2013,89,86,2042.9,559
6,2014,30,945,2403.2,1476
6,2014,39,9081,2403.2,20169
6,2014,91,1797,2403.2,1121
6,2014,50,373,2403.2,858
6,2014,35,733,2403.2,2489
6,2014,7,592,2403.2,4194
6,2014,74,4793,2403.2,3820
6,2014,47,129,2403.2,1101
6,2014,52,586,2403.2,7614
6,2014,89,95,2403.2,94
6,1997,30,5212,2274.9,7557
6,1997,39,10310,2274.9,12400
6,1997,20,130,2274.9,100
6,1997,91,603,2274.9,724
6,1997,29,290,2274.9,653
6,1997,103,20,2274.9,10
6,1997,17,80,2274.9,95
6,1997,105,2780,2274.9,2700
6,1997,50,196,2274.9,294
6,1997,74,3500,2274.9,3625
6,1998,30,5225,3616.7,7628
6,1998,39,10320,3616.7,12900
6,1998,20,133,3616.7,95
6,1998,29,335,3616.7,670
6,1998,103,20,3616.7,10
6,1998,17,40,3616.7,30
6,1998,105,2790,3616.7,3071
6,1998,50,100,3616.7,140
6,1998,35,50,3616.7,85
6,1998,7,2300,3616.7,17250
6,1998,74,3555,3616.7,4194
6,1998,47,480,3616.7,2400
6,1999,30,6186,2316.6,8245
6,1999,39,10000,2316.6,13237
6,1999,91,1000,2316.6,900
6,1999,50,131,2316.6,350
6,1999,35,75,2316.6,130
6,1999,7,2310,2316.6,19635
6,1999,74,3800,2316.6,4000
6,1999,47,490,2316.6,2940
6,1999,48,411,2316.6,411
6,2000,30,5780,2596.8,8900
6,2000,39,10450,2596.8,13400
6,2000,91,1350,2596.8,920
6,2000,50,170,2596.8,250
6,2000,35,80,2596.8,320
6,2000,7,2415,2596.8,16905
6,2000,74,3860,2596.8,4100
6,2000,47,510,2596.8,2877
6,2000,48,340,2596.8,470
6,2000,52,100,2596.8,2000
6,2000,89,50,2596.8,400
6,2001,30,2550,2036,3050
6,2001,39,5400,2036,3840
6,2001,91,4000,2036,2950
6,2001,50,15,2036,25
6,2001,35,110,2036,145
6,2001,7,2420,2036,21780
6,2001,74,4225,2036,4647
6,2001,47,520,2036,3640
6,2001,48,850,2036,850
6,2001,52,80,2036,1680
6,2001,89,60,2036,400
6,2002,30,936,2389.2,389
6,2002,39,1691,2389.2,1522
6,2002,91,233,2389.2,174
6,2002,35,17,2389.2,25
6,2002,7,3,2389.2,50
6,2002,74,80,2389.2,56
6,2002,47,50,2389.2,325
6,2002,48,73,2389.2,58
6,2003,30,950,2451.8,1045
6,2003,39,1700,2451.8,1700
6,2003,91,240,2451.8,204
6,2003,35,17,2451.8,25
6,2003,7,10,2451.8,80
6,2003,74,85,2451.8,72
6,2003,47,92,2451.8,644
6,2003,48,80,2451.8,76
6,2004,30,1393,2545.7,1533
6,2004,39,916,2545.7,870
6,2004,91,285,2545.7,200
6,2004,35,125,2545.7,152
6,2004,7,120,2545.7,526
6,2004,74,3700,2545.7,1480
6,2004,47,55,2545.7,326
6,2005,30,1515,2335.5,1697
6,2005,39,1000,2335.5,691
6,2005,91,300,2335.5,240
6,2005,35,18,2335.5,28
6,2005,7,12,2335.5,86
6,2005,74,96,2335.5,83
6,2005,47,40,2335.5,280
6,2006,30,1846,2259.6,1770
6,2006,39,1235,2259.6,1273
6,2006,91,350,2259.6,280
6,2006,35,20,2259.6,31
6,2006,7,5,2259.6,8
6,2006,74,11430,2259.6,9989
6,2006,47,53,2259.6,333
6,2007,30,1334,3020.7,1504
6,2007,39,1200,3020.7,839
6,2007,91,321,3020.7,228
6,2007,35,20,3020.7,31
6,2007,7,17,3020.7,101
6,2007,74,146,3020.7,106
6,2007,47,45,3020.7,268
6,2008,30,1350,2244.4,1550
6,2008,39,1200,2244.4,839
6,2008,91,350,2244.4,255
6,2008,7,20,2244.4,125
6,2008,74,150,2244.4,125
6,2008,47,48,2244.4,305
6,2008,89,22,2244.4,39
6,2009,30,1350,1749.9,1550
6,2009,39,1200,1749.9,838.66
6,2009,91,350,1749.9,255
6,2009,7,20,1749.9,125
6,2009,74,1200,1749.9,1258
6,2009,47,48,1749.9,305
6,2009,89,22,1749.9,39
6,2010,30,1750,2855.7,2362
6,2010,39,1585,2855.7,1268
6,2010,91,750,2855.7,750
6,2010,35,40,2855.7,76
6,2010,7,30,2855.7,120
6,2010,74,150,2855.7,135
6,2010,47,100,2855.7,550
6,2011,30,1806,2193.7,2500
6,2011,39,1610,2193.7,1382
6,2011,91,706,2193.7,823
6,2011,35,45,2193.7,90
6,2011,7,30,2193.7,124
6,2011,74,153,2193.7,152
6,2011,47,106,2193.7,614
6,2012,30,1825,3440.3,2590
6,2012,39,1682,3440.3,1420
6,2012,91,786,3440.3,905
6,2012,35,47,3440.3,105
6,2012,7,84,3440.3,230
6,2012,74,160,3440.3,157
6,2012,47,110,3440.3,645
6,2012,52,25,3440.3,163
6,2013,30,1828,2042.9,2650
6,2013,39,1690,2042.9,1486
6,2013,91,790,2042.9,921
6,2013,35,49,2042.9,117
6,2013,7,89,2042.9,255
6,2013,74,168,2042.9,161
6,2013,47,113,2042.9,682
6,2014,30,1828,2403.2,2650
6,2014,39,1690,2403.2,1485
6,2014,91,790,2403.2,921
6,2014,35,60,2403.2,79
6,2014,7,176,2403.2,545
6,2014,74,249,2403.2,220
6,2014,47,122,2403.2,761
6,1997,30,1485,2274.9,2652
6,1997,39,8945,2274.9,9200
6,1997,20,215,2274.9,75
6,1997,91,430,2274.9,324
6,1997,29,88,2274.9,195
6,1997,103,40,2274.9,30
6,1997,17,70,2274.9,55
6,1997,105,270,2274.9,290
6,1997,50,19,2274.9,81
6,1997,74,683,2274.9,645
6,1998,30,1601,3616.7,3042
6,1998,39,8045,3616.7,8190
6,1998,20,215,3616.7,90
6,1998,91,441,3616.7,358
6,1998,29,96,3616.7,205
6,1998,103,38,3616.7,26
6,1998,17,65,3616.7,74
6,1998,105,272,3616.7,350
6,1998,50,5,3616.7,6
6,1998,35,45,3616.7,90
6,1998,7,40,3616.7,160
6,1998,74,686,3616.7,745
6,1998,47,62,3616.7,310
6,1999,30,1770,2316.6,3468
6,1999,39,9595,2316.6,12665
6,1999,91,601,2316.6,420
6,1999,50,15,2316.6,19
6,1999,35,45,2316.6,60
6,1999,7,50,2316.6,140
6,1999,74,753,2316.6,475
6,1999,47,65,2316.6,184
6,1999,48,472,2316.6,584
6,1999,52,115,2316.6,1600
6,2000,30,1731,2596.8,3115
6,2000,39,8200,2596.8,9840
6,2000,91,417,2596.8,375
6,2000,50,12,2596.8,17
6,2000,35,50,2596.8,76
6,2000,7,42,2596.8,170
6,2000,74,718,2596.8,781
6,2000,47,74,2596.8,340
6,2000,48,460,2596.8,550
6,2001,30,2750,2036,5300
6,2001,39,12310,2036,16790
6,2001,91,2230,2036,2552
6,2001,50,470,2036,795
6,2001,35,70,2036,98
6,2001,7,52,2036,234
6,2001,74,790,2036,717
6,2001,47,63,2036,366
6,2001,48,830,2036,860
6,2002,30,1830,2389.2,3200
6,2002,39,8500,2389.2,10715
6,2002,91,440,2389.2,401
6,2002,50,16,2389.2,28
6,2002,35,73,2389.2,103
6,2002,7,52,2389.2,231
6,2002,74,828,2389.2,894
6,2002,47,70,2389.2,410
6,2002,48,580,2389.2,663
6,2003,30,2010,2451.8,2697
6,2003,39,8510,2451.8,10725
6,2003,91,445,2451.8,406
6,2003,50,16,2451.8,28
6,2003,35,72,2451.8,103
6,2003,7,47,2451.8,209
6,2003,74,830,2451.8,900
6,2003,47,70,2451.8,410
6,2003,48,585,2451.8,655
6,2004,30,1995,2545.7,3481
6,2004,39,8515,2545.7,6651
6,2004,91,480,2545.7,436
6,2004,50,20,2545.7,32
6,2004,35,72,2545.7,103
6,2004,7,50,2545.7,222
6,2004,74,826,2545.7,905
6,2005,30,2318,2335.5,3220
6,2005,39,8538,2335.5,3158
6,2005,91,495,2335.5,481
6,2005,50,23,2335.5,46
6,2005,35,79,2335.5,112
6,2005,7,55,2335.5,227
6,2005,74,943,2335.5,1051
6,2005,47,95,2335.5,556
6,2006,30,4298,2259.6,3497
6,2006,39,8235,2259.6,6313
6,2006,91,485,2259.6,475
6,2006,50,23,2259.6,47
6,2006,35,81,2259.6,124
6,2006,7,55,2259.6,223
6,2006,74,955,2259.6,1073
6,2006,47,90,2259.6,522
6,2007,30,2453,3020.7,3131
6,2007,39,8200,3020.7,6952
6,2007,91,490,3020.7,485
6,2007,50,25,3020.7,52
6,2007,35,82,3020.7,126
6,2007,7,55,3020.7,225
6,2007,74,1028,3020.7,1210
6,2007,47,90,3020.7,581
6,2008,30,2490,2244.4,3211
6,2008,39,8250,2244.4,6933
6,2008,91,502,2244.4,491
6,2008,50,27,2244.4,56
6,2008,35,82,2244.4,129
6,2008,7,56,2244.4,231
6,2008,74,1036,2244.4,1223
6,2008,47,94,2244.4,614
6,2008,52,25,2244.4,187
6,2008,89,18,2244.4,62
6,2009,30,2500,1749.9,3245
6,2009,39,8260,1749.9,6993.33
6,2009,91,510,1749.9,559
6,2009,50,28,1749.9,57
6,2009,35,83,1749.9,131
6,2009,7,58,1749.9,239
6,2009,74,8260,1749.9,10490
6,2009,47,95,1749.9,622
6,2010,30,2510,2855.7,3295
6,2010,39,8267,2855.7,7178
6,2010,91,520,2855.7,570
6,2010,50,31,2855.7,65
6,2010,35,85,2855.7,136
6,2010,7,60,2855.7,244
6,2010,74,1048,2855.7,1248
6,2010,47,97,2855.7,637
6,2011,30,2590,2193.7,3488
6,2011,39,8398,2193.7,7822
6,2011,91,528,2193.7,626
6,2011,50,31,2193.7,72
6,2011,35,96,2193.7,160
6,2011,7,62,2193.7,252
6,2011,74,1069,2193.7,1408
6,2011,47,103,2193.7,711
6,2012,30,2615,3440.3,3608
6,2012,39,8768,3440.3,8442
6,2012,91,588,3440.3,689
6,2012,50,32,3440.3,75
6,2012,35,100,3440.3,181
6,2012,7,62,3440.3,254
6,2012,74,1100,3440.3,1427
6,2012,47,103,3440.3,710
6,2013,30,2635,2042.9,3636
6,2013,39,8968,2042.9,9087
6,2013,91,600,2042.9,675
6,2013,50,35,2042.9,81
6,2013,35,104,2042.9,192
6,2013,7,68,2042.9,280
6,2013,74,1127,2042.9,1462
6,2013,47,110,2042.9,770
6,2014,30,2700,2403.2,4038
6,2014,39,8968,2403.2,9436
6,2014,91,817,2403.2,887
6,2014,50,128,2403.2,418
6,2014,35,115,2403.2,154
6,2014,7,155,2403.2,570
6,2014,74,1242,2403.2,1569
6,2014,47,119,2403.2,849
6,1997,30,2332,2274.9,4196
6,1997,39,10200,2274.9,15525
6,1997,20,98,2274.9,80
6,1997,91,2050,2274.9,2395
6,1997,29,291,2274.9,223
6,1997,103,22,2274.9,15
6,1997,17,74,2274.9,82
6,1997,105,3315,2274.9,3400
6,1997,52,118,2274.9,4932
6,1997,50,447,2274.9,670
6,1997,74,3800,2274.9,3800
6,1998,30,2478,3616.7,4717
6,1998,39,7323,3616.7,12600
6,1998,20,100,3616.7,78
6,1998,91,2109,3616.7,2656
6,1998,29,341,3616.7,324
6,1998,103,29,3616.7,13
6,1998,17,35,3616.7,20
6,1998,105,3350,3616.7,3420
6,1998,50,400,3616.7,600
6,1998,35,100,3616.7,80
6,1998,7,80,3616.7,260
